Name,Platform,Year_of_Release,Genre,NA_players,EU_players,JP_players,Other_players,Critic_Score,User_Score,Rating
SoulCalibur Legends,Wii,2007-01-01,Action,0.16,0.01,0,0.01,52,5.7,T
College Hoops 2K7,PS3,2007-01-01,Sports,0.16,0,0,0.01,81,7.1,E
College Hoops 2K8,X360,2007-01-01,Sports,0.16,0,0,0.01,81,6.9,E
Professional Fisherman's Tour: Northern Hemisphere,DS,2007-01-01,Sports,0.16,0,0,0.01,nan,tbd,E
Kekkaishi: Karasumori Ayakashi Kidan,DS,2007-01-01,Action,0,0,0.17,0,nan,,
Lost in Blue 3,DS,2007-01-01,Adventure,0.09,0.02,0.06,0.01,59,tbd,E10+
.hack//G.U. Vol.3//Redemption,PS2,2007-01-01,Role-Playing,0,0,0.17,0,nan,,
Mercury Meltdown Revolution,Wii,2007-01-01,Action,0.16,0,0,0.01,77,7.4,E
Bee Movie Game,X360,2007-01-01,Action,0.16,0,0,0.01,71,5.8,E
Fate/Stay Night [Réalta Nua],PS2,2007-01-01,Adventure,0,0,0.17,0,nan,,
Garfield: Lasagna World Tour,PS2,2007-01-01,Action,0.08,0.06,0,0.02,nan,tbd,E
Hot Wheels: Beat That!,X360,2007-01-01,Racing,0.15,0,0,0.01,nan,,
Naruto Shippuden: Ultimate Ninja 5,PS2,2007-01-01,Fighting,0,0,0.17,0,nan,,
Fuzion Frenzy 2,X360,2007-01-01,Misc,0.14,0.01,0,0.01,49,5.2,E10+
My French Coach,DS,2007-01-01,Misc,0.14,0.01,0,0.01,nan,tbd,E
Surf's Up,Wii,2007-01-01,Sports,0.15,0,0,0.01,64,tbd,E10+
Pursuit Force: Extreme Justice,PSP,2007-01-01,Action,0.07,0.06,0,0.03,73,7.6,T
Dementium: The Ward,DS,2007-01-01,Shooter,0.15,0.01,0,0.01,72,7.9,M
Bomberman Land,Wii,2007-01-01,Misc,0.11,0.01,0.03,0.01,57,8,E
TOEIC Test Training DS,DS,2007-01-01,Misc,0,0,0.17,0,nan,,
Disney Friends,DS,2007-01-01,Simulation,0.12,0.03,0,0.01,nan,7.3,E
San Goku Shi Taisen DS,DS,2007-01-01,Strategy,0,0,0.16,0,nan,,
Monster Jam,Wii,2007-01-01,Racing,0.15,0,0,0.01,nan,7.8,E
Dancing With The Stars,PS2,2007-01-01,Misc,0.08,0.06,0,0.02,nan,tbd,E10+
Thrillville: Off the Rails,X360,2007-01-01,Strategy,0.13,0.02,0,0.01,73,2.8,E10+
Beowulf: The Game,PS3,2007-01-01,Action,0.14,0.01,0,0.01,51,5.2,M
Dewy's Adventure,Wii,2007-01-01,Platform,0.14,0,0.01,0.01,67,6.3,E
The BIGS,PS3,2007-01-01,Sports,0.15,0,0,0.01,77,7.2,E
NBA Live 08,Wii,2007-01-01,Sports,0.14,0,0,0.01,52,7.1,E
TimeShift,PS3,2007-01-01,Shooter,0.14,0,0,0.01,70,6.3,M
Left Brain Right Brain: Use Both Hands Train Both Sides,DS,2007-01-01,Misc,0.15,0,0,0.01,nan,,
Imagine: Ice Champions,DS,2007-01-01,Sports,0.15,0,0,0.01,nan,tbd,E
Bomberman Land Touch! 2,DS,2007-01-01,Puzzle,0.13,0,0.01,0.01,nan,,
Arcana Heart,PS2,2007-01-01,Fighting,0.06,0.05,0.04,0.02,77,8.1,T
Godzilla Unleashed,Wii,2007-01-01,Fighting,0.14,0,0,0.01,44,7.2,E10+
Rondo of Swords (US sales),DS,2007-01-01,Role-Playing,0.16,0,0,0,nan,,
All-Pro Football 2K8,PS3,2007-01-01,Sports,0.14,0,0,0.01,73,7.3,E10+
Chessmaster: The Art of Learning,DS,2007-01-01,Misc,0.12,0.03,0,0.01,nan,6.7,E
Dragon Ball Z: Harukanaru Densetsu (JP sales),DS,2007-01-01,Role-Playing,0,0,0.15,0,nan,,
"Go, Diego, Go! Safari Rescue",DS,2007-01-01,Adventure,0.14,0.01,0,0.01,nan,,
The Godfather: Blackhand Edition,Wii,2007-01-01,Adventure,0.14,0,0,0.01,77,8.5,M
Bust-A-Move Bash!,Wii,2007-01-01,Puzzle,0.13,0.01,0,0.01,nan,,
NBA Street Homecourt,PS3,2007-01-01,Sports,0.12,0.01,0,0.02,81,6.5,E
WordJong,DS,2007-01-01,Puzzle,0.13,0.01,0,0.01,77,7.7,E
Samurai Warriors: Katana,Wii,2007-01-01,Action,0.11,0,0.04,0.01,53,6.8,T
Bleach: Dark Souls,DS,2007-01-01,Fighting,0.12,0.02,0,0.01,82,7.9,T
Suzumiya Haruhi no Yakusoku,PSP,2007-01-01,Adventure,0,0,0.15,0,nan,,
Final Fantasy XI: Vana'diel Collection 2008,X360,2007-01-01,Role-Playing,0.13,0,0.01,0.01,nan,tbd,T
Fantastic Four: Rise of the Silver Surfer,PS3,2007-01-01,Action,0.12,0.02,0,0.02,47,6.2,T
Blazing Angels 2: Secret Missions of WWII,PS3,2007-01-01,Simulation,0.1,0.03,0,0.02,70,7.2,T
Soldier of Fortune: Payback,PS3,2007-01-01,Shooter,0.12,0.02,0,0.01,50,5.4,M
Tamagotchi no Appare! Niji Venture,DS,2007-01-01,Role-Playing,0,0,0.14,0,nan,,
Ultimate Board Game Collection,Wii,2007-01-01,Misc,0.13,0,0,0.01,nan,tbd,E
Cars: Mater-National Championship,X360,2007-01-01,Racing,0.13,0,0,0.01,58,7.8,E
Rayman Raving Rabbids,DS,2007-01-01,Misc,0.13,0.01,0,0.01,56,6.1,E
CSI: 3 Dimensions of Murder,PS2,2007-01-01,Adventure,0.07,0.06,0,0.02,nan,tbd,M
Spider-Man: Friend or Foe,Wii,2007-01-01,Action,0.13,0,0,0.01,59,8,E10+
Power Rangers: Super Legends,PS2,2007-01-01,Action,0.07,0.06,0,0.02,nan,3,E10+
Ratatouille,GC,2007-01-01,Action,0.11,0.03,0,0,60,5.6,E
Geometry Wars: Galaxies,DS,2007-01-01,Shooter,0.13,0,0,0.01,79,7.9,E
Heroes of Mana,DS,2007-01-01,Strategy,0.07,0.01,0.05,0.01,66,tbd,E10+
Victorious Boxers: Revolution,Wii,2007-01-01,Fighting,0.07,0,0.06,0.01,59,5.4,T
Chicken Shoot,DS,2007-01-01,Action,0.13,0,0,0.01,19,3.1,E10+
Scarface: The World is Yours,Wii,2007-01-01,Action,0.12,0.01,0,0.01,71,8.4,M
Cranium Kabookii,Wii,2007-01-01,Misc,0.13,0,0,0.01,64,5.4,E
Arctic Tale,DS,2007-01-01,Adventure,0.13,0,0,0.01,38,tbd,E
¡Shin Chan Flipa en colores!,DS,2007-01-01,Platform,0,0,0.14,0,nan,,
The Orange Box,PC,2007-01-01,Shooter,0,0.11,0,0.03,96,9.3,M
"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",PSP,2007-01-01,Role-Playing,0,0,0.13,0,nan,,
Hot Wheels: Beat That!,Wii,2007-01-01,Racing,0.13,0,0,0.01,nan,5.3,E
Wild ARMs XF,PSP,2007-01-01,Role-Playing,0.07,0,0.06,0.01,64,6.6,E10+
College Hoops 2K8,PS3,2007-01-01,Sports,0.13,0,0,0.01,82,5.2,E
Jikkyou Powerful Pro Yakyuu Wii,Wii,2007-01-01,Sports,0,0,0.14,0,nan,,
Blazing Angels 2: Secret Missions of WWII,X360,2007-01-01,Simulation,0.11,0.02,0,0.01,72,7.8,T
Paws & Claws: Pet Vet 2,DS,2007-01-01,Simulation,0.13,0,0,0.01,nan,,
Hard Rock Casino,PSP,2007-01-01,Misc,0.12,0,0,0.01,44,tbd,T
Alvin and the Chipmunks,DS,2007-01-01,Misc,0.12,0,0,0.01,nan,tbd,E
Avatar: The Last Airbender - The Burning Earth,X360,2007-01-01,Action,0.11,0.01,0,0.01,nan,,
Monster Jam,DS,2007-01-01,Racing,0.12,0,0,0.01,nan,tbd,E
SingStar Latino,PS2,2007-01-01,Misc,0.07,0.05,0,0.02,nan,tbd,T
NHL 2K8,X360,2007-01-01,Sports,0.11,0.01,0,0.01,71,7.4,E10+
Brain Assist,DS,2007-01-01,Misc,0.12,0,0,0.01,53,tbd,E
Fatal Inertia,X360,2007-01-01,Racing,0.12,0,0,0.01,61,4.2,E10+
Wantame Music Channel: Doko Demo Style,DS,2007-01-01,Misc,0,0,0.13,0,nan,,
Anno 1701: Dawn of Discovery,DS,2007-01-01,Simulation,0.07,0.05,0,0.01,78,7.5,E
NBA 08,PS3,2007-01-01,Sports,0.12,0,0,0.01,63,6,E
Summon Night: Twin Age,DS,2007-01-01,Role-Playing,0.07,0,0.05,0.01,73,7.2,E10+
Puzzle de Harvest Moon,DS,2007-01-01,Puzzle,0.12,0,0,0.01,41,6.3,E
NBA 08,PS2,2007-01-01,Sports,0.06,0.05,0,0.02,59,tbd,E
Shining Wind,PS2,2007-01-01,Role-Playing,0,0,0.13,0,nan,,
Smart Boy's Gameroom,DS,2007-01-01,Misc,0.12,0,0,0.01,nan,tbd,E
7 Wonders of the Ancient World,DS,2007-01-01,Puzzle,0.1,0.01,0,0.01,60,8.3,E
Baroque,PS2,2007-01-01,Role-Playing,0.05,0.04,0.02,0.01,60,8.8,T
Hour of Victory,X360,2007-01-01,Shooter,0.1,0.01,0,0.01,37,3,T
Indianapolis 500 Legends,Wii,2007-01-01,Racing,0.12,0,0,0.01,47,6.7,E
Need for Speed: ProStreet,DS,2007-01-01,Racing,0.11,0.01,0,0.01,74,7.4,E
Diner Dash: Sizzle & Serve,PSP,2007-01-01,Puzzle,0.11,0,0,0.01,nan,,
Impossible Mission,DS,2007-01-01,Platform,0.11,0,0,0.01,61,4.8,E
Puzzle Quest: Challenge of the Warlords,PS2,2007-01-01,Puzzle,0.06,0.05,0,0.02,78,7,E10+
Star Trek: Conquest,Wii,2007-01-01,Strategy,0.11,0.01,0,0.01,49,4.9,E
Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable,PSP,2007-01-01,Shooter,0,0,0.12,0,nan,,
Lovely Lisa,DS,2007-01-01,Simulation,0.11,0,0,0.01,nan,tbd,E
Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,DS,2007-01-01,Misc,0,0,0.12,0,nan,,
Horse Life,DS,2007-01-01,Simulation,0.09,0.02,0,0.01,68,tbd,E
Geometry Wars: Galaxies,Wii,2007-01-01,Shooter,0.11,0,0,0.01,80,8.2,E
Godzilla Unleashed: Double Smash,DS,2007-01-01,Action,0.11,0,0,0.01,28,4.9,E
WWE SmackDown vs Raw 2008,DS,2007-01-01,Fighting,0.11,0,0,0.01,61,6.6,T
Barbie as The Island Princess,PS2,2007-01-01,Adventure,0.06,0.04,0,0.02,nan,tbd,E
MX vs. ATV Untamed,DS,2007-01-01,Racing,0.11,0,0,0.01,61,tbd,E
Cruis'n,Wii,2007-01-01,Racing,0.1,0.01,0,0.01,25,3.7,E
Marvel Trading Card Game,DS,2007-01-01,Misc,0.11,0,0,0.01,61,4.9,T
Ultimate Puzzle Games: Sudoku Edition,DS,2007-01-01,Puzzle,0.11,0,0,0.01,nan,tbd,E
Tales of Destiny 2,PSP,2007-01-01,Role-Playing,0,0,0.12,0,nan,,
DEATH NOTE: Kira Game,DS,2007-01-01,Adventure,0,0,0.12,0,nan,,
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,PS2,2007-01-01,Misc,0,0,0.12,0,nan,,
ASH: Archaic Sealed Heat,DS,2007-01-01,Role-Playing,0,0,0.12,0,nan,,E10+
Dokapon Kingdom,PS2,2007-01-01,Role-Playing,0.05,0.04,0.02,0.01,61,6.5,E10+
Retro Game Challenge,DS,2007-01-01,Action,0,0,0.11,0,77,7.3,E
Fantastic Four: Rise of the Silver Surfer,X360,2007-01-01,Action,0.1,0.01,0,0.01,45,5.4,T
Monster Madness: Battle for Suburbia,X360,2007-01-01,Shooter,0.1,0,0,0.01,55,5.2,T
Animal Genius,DS,2007-01-01,Puzzle,0.1,0,0,0.01,nan,tbd,E
Prince of Persia: Rival Swords,PSP,2007-01-01,Action,0.08,0.02,0,0.01,74,8.2,T
Super Swing Golf Season 2,Wii,2007-01-01,Sports,0.08,0,0.03,0.01,70,tbd,E10+
Cory in the House,DS,2007-01-01,Action,0.1,0,0,0.01,nan,9.5,E
TMNT,PSP,2007-01-01,Action,0.1,0,0,0.01,37,4.1,E10+
Pocket Pets,DS,2007-01-01,Simulation,0.1,0,0,0.01,nan,,E
MLB Power Pros,PS2,2007-01-01,Sports,0,0,0.11,0,80,8.8,E
Kousoku Card Battle: Card Hero,DS,2007-01-01,Strategy,0,0,0.11,0,nan,,
Jake Hunter Detective Story: Memories of the Past,DS,2007-01-01,Adventure,0.06,0,0.05,0,72,tbd,T
The History Channel: Battle for the Pacific,Wii,2007-01-01,Shooter,0.1,0,0,0.01,nan,5.3,T
Mobile Suit Gundam: MS Sensen 0079,Wii,2007-01-01,Simulation,0,0,0.11,0,nan,,
The Settlers,DS,2007-01-01,Action,0.1,0,0,0.01,39,5.6,E
Guitar Rock Tour,DS,2007-01-01,Misc,0.1,0,0,0.01,60,tbd,E10+
Surf's Up,PSP,2007-01-01,Sports,0.02,0.06,0,0.03,nan,tbd,E10+
Cake Mania,DS,2007-01-01,Puzzle,0.09,0.01,0,0.01,55,6.1,E
Kouchuu Ouja Mushi King: Super Collection,DS,2007-01-01,Action,0,0,0.11,0,nan,,
Higurashi no Naku Koro ni Matsuri,PS2,2007-01-01,Adventure,0,0,0.11,0,nan,,
Smash Court Tennis 3,X360,2007-01-01,Sports,0.08,0.02,0,0.01,55,tbd,E
Touch Detective 2 1/2,DS,2007-01-01,Adventure,0.09,0,0.01,0.01,67,tbd,E
Hitman Trilogy,PS2,2007-01-01,Action,0.05,0.04,0,0.01,nan,tbd,M
The Cheetah Girls: Pop Star Sensations,DS,2007-01-01,Misc,0.1,0,0,0.01,nan,tbd,E
The BIGS,PSP,2007-01-01,Sports,0.1,0,0,0.01,72,tbd,E
Sudokuro,DS,2007-01-01,Puzzle,0.1,0,0,0.01,nan,tbd,E
Tetris Evolution,X360,2007-01-01,Puzzle,0.08,0.02,0,0.01,52,tbd,E
Final Fantasy XII International Zodiac Job System,PS2,2007-01-01,Role-Playing,0,0,0.11,0,nan,,
FlatOut: Ultimate Carnage,X360,2007-01-01,Racing,0.07,0.02,0,0.01,80,8.8,T
Rocky Balboa,PSP,2007-01-01,Sports,0.01,0.09,0,0.01,58,6.6,T
Kirarin * Revolution: Tsukutte Misechao! Kime * Kira Stage,DS,2007-01-01,Simulation,0,0,0.1,0,nan,,
American Girl: Julie Finds a Way,DS,2007-01-01,Adventure,0.1,0,0,0.01,nan,tbd,E
Power Rangers: Super Legends,DS,2007-01-01,Action,0.08,0.02,0,0.01,nan,,
Momotarou Dentetsu 16,Wii,2007-01-01,Misc,0,0,0.1,0,nan,,
Thrillville: Off the Rails,PSP,2007-01-01,Strategy,0.09,0,0,0.01,72,0.6,E10+
Brooktown High: Senior Year,PSP,2007-01-01,Simulation,0.09,0,0,0.01,51,tbd,T
Barbie in The 12 Dancing Princesses,DS,2007-01-01,Adventure,0.09,0.01,0,0.01,nan,tbd,E
Kirarin * Revolution: Mezase! Idol Queen,DS,2007-01-01,Simulation,0,0,0.1,0,nan,,
Dungeons & Dragons Tactics,PSP,2007-01-01,Strategy,0.09,0,0,0.01,nan,,
Hot Wheels Ultimate Racing,PSP,2007-01-01,Action,0.09,0,0,0.01,60,tbd,E
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,DS,2007-01-01,Misc,0,0,0.1,0,nan,,
PictoImage,DS,2007-01-01,Puzzle,0.09,0,0,0.01,61,tbd,E
DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,DS,2007-01-01,Misc,0,0,0.1,0,nan,,
Surf's Up,X360,2007-01-01,Sports,0.09,0,0,0.01,61,6.1,E10+
Draglade,DS,2007-01-01,Fighting,0.09,0,0,0.01,71,7.5,E10+
Bee Movie Game,PS2,2007-01-01,Action,0.05,0.04,0,0.01,65,7.5,E
Master of the Monster Lair,DS,2007-01-01,Role-Playing,0.09,0,0,0.01,56,tbd,E10+
Nodame Cantabile,DS,2007-01-01,Misc,0,0,0.1,0,nan,,
World Snooker Championship 2007,PS3,2007-01-01,Sports,0,0.1,0,0,nan,,
Myst,DS,2007-01-01,Adventure,0.09,0,0,0.01,43,3.5,E
Bleach: Dark Souls (JP sales),DS,2007-01-01,Fighting,0,0,0.1,0,nan,,
Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,2007-01-01,Misc,0,0,0.1,0,nan,,
World Series of Poker 2008: Battle for the Bracelets,PS3,2007-01-01,Misc,0.08,0.01,0,0.01,75,tbd,T
Opoona,Wii,2007-01-01,Role-Playing,0.08,0,0.01,0.01,65,7.7,E10+
Naruto Shippuden: Gekito Ninja Taisen! EX,Wii,2007-01-01,Fighting,0,0,0.1,0,nan,,
MotoGP 07,PS2,2007-01-01,Racing,0.05,0.04,0,0.01,62,9.1,E
Shining Force EXA,PS2,2007-01-01,Role-Playing,0,0,0.1,0,64,7.3,E10+
CSI: Hard Evidence,X360,2007-01-01,Adventure,0.07,0.02,0,0.01,nan,,
Pro Yakyuu Famista DS,DS,2007-01-01,Sports,0,0,0.1,0,nan,,
Heatseeker,Wii,2007-01-01,Action,0.08,0,0,0.01,62,6.2,T
Unou no Tatsujin: Soukai! Machigai Museum 2,DS,2007-01-01,Misc,0,0,0.09,0,nan,,
Glory Days 2,DS,2007-01-01,Strategy,0.08,0,0,0.01,73,7.3,E10+
Bladestorm: The Hundred Years' War,X360,2007-01-01,Action,0.08,0.01,0,0.01,63,6.8,T
Halo 2,PC,2007-01-01,Shooter,0.01,0.06,0,0.02,72,5.6,M
Medal of Honor: Vanguard,Wii,2007-01-01,Shooter,0.06,0.03,0,0.01,56,7,T
Retro Game Challenge (US sales),DS,2007-01-01,Action,0.09,0,0,0,nan,,
Code Lyoko: Quest for Infinity,Wii,2007-01-01,Action,0.07,0.01,0,0.01,58,8.5,E10+
Yu-Gi-Oh! GX: The Beginning of Destiny (US sales),PS2,2007-01-01,Strategy,0.05,0.04,0,0.01,nan,,
NCAA March Madness 08,PS3,2007-01-01,Sports,0.08,0,0,0.01,67,3.8,E
InuYasha: Secret of the Divine Jewel,DS,2007-01-01,Role-Playing,0.09,0,0,0.01,46,7.6,E10+
Atari Classics Evolved,PSP,2007-01-01,Misc,0.08,0,0,0.01,64,6,E
Ultimate Mortal Kombat,DS,2007-01-01,Fighting,0.07,0.01,0,0.01,73,8.6,M
Jenga World Tour,DS,2007-01-01,Misc,0.08,0,0,0.01,32,tbd,E
NHL 2K8,PS3,2007-01-01,Sports,0.08,0.01,0,0.01,74,tbd,E10+
Jikkyou Powerful Pro Yakyuu 14 Ketteiban,PS2,2007-01-01,Sports,0,0,0.09,0,nan,,
Beowulf: The Game,PSP,2007-01-01,Action,0.08,0,0,0.01,44,5.4,M
Kawasaki Quad Bikes,Wii,2007-01-01,Racing,0.07,0.01,0,0.01,nan,tbd,E
Jikkyou Powerful Pro Yakyuu Portable 2,PSP,2007-01-01,Sports,0,0,0.09,0,nan,,
Ochaken no Heya DS 2,DS,2007-01-01,Simulation,0,0,0.09,0,nan,,
Star Wars: Empire at War - Gold Pack,PC,2007-01-01,Strategy,0.01,0.06,0,0.01,nan,,
"Saiyuuki: Kinkaku, Ginkaku no Inbou",DS,2007-01-01,Role-Playing,0,0,0.09,0,nan,,
Mugen Keitai Disgaea,PS2,2007-01-01,Role-Playing,0,0,0.09,0,nan,,
Pachitte Chonmage Tatsujin 10: Pachinko Fuyu no Sonata,PS2,2007-01-01,Misc,0,0,0.09,0,nan,,
Zoids Assault,X360,2007-01-01,Strategy,0.08,0,0,0.01,46,7.3,T
Kenka Banchou 2: Full Throttle,PS2,2007-01-01,Action,0,0,0.09,0,nan,,
Kurikin: Nano Island Story,DS,2007-01-01,Role-Playing,0,0,0.09,0,nan,,
Naruto Shippuden: Gekito Ninja Taisen! EX 2,Wii,2007-01-01,Fighting,0,0,0.09,0,nan,,
Reading Training,DS,2007-01-01,Misc,0,0,0.08,0,nan,,
El Tigre: The Adventures of Manny Rivera,DS,2007-01-01,Platform,0.08,0,0,0.01,53,tbd,E
Samurai Warriors 2: Xtreme Legends,PS2,2007-01-01,Action,0.04,0.03,0,0.01,50,8,T
Major League Baseball 2K7,PSP,2007-01-01,Sports,0.08,0,0,0.01,61,tbd,E
F.E.A.R. Files,X360,2007-01-01,Shooter,0.07,0.01,0,0.01,66,7.1,M
Indianapolis 500 Legends,DS,2007-01-01,Racing,0.08,0,0,0.01,51,tbd,E
NCAA Football 08,XB,2007-01-01,Sports,0.06,0.02,0,0,82,8.1,E
America's Army: True Soldiers,X360,2007-01-01,Shooter,0.08,0,0,0.01,43,6.7,T
Pachitte Chonmage Tatsujin 13: Pachinko Hissatsu Shigotojin III,PS2,2007-01-01,Misc,0,0,0.08,0,nan,,
Blacksite: Area 51,PS3,2007-01-01,Shooter,0.07,0.01,0,0.01,56,6.3,T
Death Jr. and the Science Fair of Doom,DS,2007-01-01,Platform,0.08,0,0,0.01,47,7.5,E10+
Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari,DS,2007-01-01,Role-Playing,0,0,0.08,0,nan,,
Ninjabread Man,Wii,2007-01-01,Action,0.07,0,0,0.01,20,1.7,E
Pro Evolution Soccer 2008 (JP sales),DS,2007-01-01,Sports,0,0,0.08,0,nan,,
Yamakawa Shuppansha Kanshuu: Shousetsu Sekaishi B,DS,2007-01-01,Misc,0,0,0.08,0,nan,,
EyeCreate,PS3,2007-01-01,Misc,0,0.07,0,0.01,nan,,
Looney Tunes: Acme Arsenal,X360,2007-01-01,Action,0.06,0.01,0,0.01,40,6.8,E10+
Disney's Meet the Robinsons,X360,2007-01-01,Action,0.07,0,0,0.01,65,tbd,E10+
Crush,PSP,2007-01-01,Puzzle,0.07,0,0,0.01,83,9,E10+
7 Wonders of the Ancient World,PSP,2007-01-01,Puzzle,0.07,0,0,0.01,51,tbd,E
Gintama: Gin-San to Issho! Boku no Kabuki Machi Nikki,PS2,2007-01-01,Action,0,0,0.08,0,nan,,
Final Fantasy XI: Vana'diel Collection 2008,PS2,2007-01-01,Role-Playing,0.03,0.03,0.01,0.01,nan,tbd,T
Bleach: Heat the Soul 4,PSP,2007-01-01,Fighting,0,0,0.08,0,nan,,
World Series of Poker 2008: Battle for the Bracelets,X360,2007-01-01,Misc,0.06,0.01,0,0.01,74,6.7,T
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​,PS3,2007-01-01,Adventure,0,0,0.08,0,nan,,
Alien Syndrome,PSP,2007-01-01,Role-Playing,0.07,0,0,0.01,51,6,T
Dragon Shadow Spell,PS2,2007-01-01,Role-Playing,0,0,0.08,0,nan,,
The Idolm@ster,X360,2007-01-01,Simulation,0,0,0.08,0,nan,,
Madden NFL 08,GC,2007-01-01,Sports,0.06,0.02,0,0,75,7,E
Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,DS,2007-01-01,Fighting,0,0,0.08,0,nan,,
Puchi Puchi Virus,DS,2007-01-01,Puzzle,0.07,0,0,0.01,73,4.2,E
Fate/Tiger Colosseum,PSP,2007-01-01,Fighting,0,0,0.08,0,nan,,
One Piece: Gear Spirit,DS,2007-01-01,Fighting,0,0,0.08,0,nan,,
Tales of Fandom Vol.2,PS2,2007-01-01,Role-Playing,0,0,0.08,0,nan,,
Backyard NBA Basketball,DS,2007-01-01,Sports,0.07,0,0,0.01,nan,,
Cosmic Family,Wii,2007-01-01,Misc,0.07,0,0,0.01,54,5.7,E
Alvin and the Chipmunks,PS2,2007-01-01,Misc,0.04,0.03,0,0.01,33,4.5,E
River King: Mystic Valley (US sales),DS,2007-01-01,Sports,0.07,0,0,0,nan,,
Romance of the Three Kingdoms XI,PS2,2007-01-01,Strategy,0,0,0.07,0,69,8.4,E10+
Dungeon Maker II: The Hidden War,PSP,2007-01-01,Role-Playing,0.06,0,0,0.01,nan,tbd,E10+
Elements of Destruction,DS,2007-01-01,Strategy,0.07,0,0,0.01,nan,tbd,E10+
Eiken DS,DS,2007-01-01,Misc,0,0,0.07,0,nan,,
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007-01-01,Racing,0.03,0.03,0,0.01,37,5.9,M
Hannspree Ten Kate Honda: SBK Superbike World Championship,PS2,2007-01-01,Racing,0.03,0.03,0,0.01,nan,,
Operation Darkness,X360,2007-01-01,Role-Playing,0.07,0,0,0.01,46,7,M
R-Type Command,PSP,2007-01-01,Strategy,0.05,0,0.01,0.01,69,6.5,E10+
CSI: Dark Motives,DS,2007-01-01,Adventure,0.05,0.01,0,0.01,nan,6.7,T
Make 10: A Journey of Numbers,DS,2007-01-01,Puzzle,0,0,0.07,0,nan,,
Record of Agarest War,PS3,2007-01-01,Role-Playing,0,0.03,0.03,0.01,67,6.8,T
Dave Mirra BMX Challenge,Wii,2007-01-01,Sports,0.06,0,0,0.01,36,tbd,E
Higurashi no Naku Koro ni Matsuri: Kakera Asobi,PS2,2007-01-01,Adventure,0,0,0.07,0,nan,,
The Sims 2: Seasons,PC,2007-01-01,Simulation,0.01,0.04,0,0.01,78,7.3,T
Heavenly Guardian,Wii,2007-01-01,Shooter,0.06,0,0,0,nan,tbd,E
Dynasty Warriors DS: Fighter's Battle,DS,2007-01-01,Action,0.04,0,0.03,0,56,tbd,E10+
Operation: Vietnam,DS,2007-01-01,Shooter,0.06,0,0,0,65,6.3,T
Anubis II,Wii,2007-01-01,Platform,0.06,0,0,0,19,2.7,E
Ultimate Board Game Collection,PSP,2007-01-01,Misc,0.06,0,0,0.01,57,tbd,E
Zettai Onkan Otoda Master,DS,2007-01-01,Role-Playing,0,0,0.07,0,nan,,
Dragoneer's Aria,PSP,2007-01-01,Role-Playing,0.02,0,0.05,0,56,6,E10+
N+,DS,2007-01-01,Platform,0.06,0,0,0,82,7.4,E
Shin Lucky * Star: Moe Drill ~Tabidachi~,DS,2007-01-01,Action,0,0,0.07,0,nan,,
Fatal Fury: Battle Archives Volume 2,PS2,2007-01-01,Fighting,0.03,0.03,0,0.01,70,tbd,T
Command & Conquer 3: Tiberium Wars,PC,2007-01-01,Strategy,0,0.06,0,0.01,nan,,
Doraemon: Nobita no Shin Makai Daibouken DS,DS,2007-01-01,Role-Playing,0,0,0.07,0,nan,,
Interactive Storybook DS Series 1,DS,2007-01-01,Misc,0.06,0,0,0,nan,tbd,E
Pro Yaky? Spirits 4,PS3,2007-01-01,Sports,0,0,0.07,0,nan,,
Lost in Blue 2,DS,2007-01-01,Adventure,0.01,0.01,0.05,0,58,tbd,E10+
Age of Empires III: The Asian Dynasties,PC,2007-01-01,Strategy,0,0.05,0,0.01,81,8.5,T
Mitsukete! Keroro Gunsou: Machigai Sagashi Daisakusen de Arimasu!,DS,2007-01-01,Action,0,0,0.06,0,nan,,
Kiniro no Corda 2,PS2,2007-01-01,Role-Playing,0,0,0.06,0,nan,,
Fishing Master (jp sales),Wii,2007-01-01,Sports,0,0,0.06,0,nan,,
Legend of the Dragon,Wii,2007-01-01,Fighting,0.06,0,0,0,37,4.8,T
Backyard Hockey,DS,2007-01-01,Sports,0.06,0,0,0,nan,tbd,E
Seaman 2: Peking Genjin Ikusei Kit,PS2,2007-01-01,Simulation,0,0,0.06,0,nan,,
Panzer Tactics,DS,2007-01-01,Strategy,0.06,0,0,0,nan,,
"Warhammer 40,000: Squad Command",DS,2007-01-01,Strategy,0.05,0.01,0,0.01,57,7.9,T
The Legend of Heroes: Trails in the Sky Second Chapter,PSP,2007-01-01,Role-Playing,0,0,0.06,0,nan,,
